185,Burkholderia phage phiE12-2,CP000624,361
186,Burkholderia phage phi644-2,CP000625,379
187,Burkholderia phage KS9,NC_013055,539
188,Burkholderia phage phiE125,NC_003309,89
189,Burkholderia phage phiE202 chromosome,NC_009234,365
190,Burkholderia phage phiE255 chromosome,NC_009237,366
191,Burkholderia phage phiE202,CP000623,360
192,Burkholderia phage phiE255,CP000622,362
193,Campylobacter phage NCTC12673,NC_015464,697
194,Campylobacter phage CPX,NC_016562,834
195,Campylobacter phage CP30A,NC_018861,1034
196,Campylobacter phage CP81,FR823450,778
197,Campylobacter phage CP8,KF148616,1436
198,Campylobacter phage CJIE4-1,KF751793,1705
199,Campylobacter phage CJIE4-2,KF751794,1706
200,Campylobacter phage CJIE4-3,KF751795,1707
201,Campylobacter phage CJIE4-4,KF751796,1708
202,Campylobacter phage CJIE4-5,KF751797,1709
203,Campylobacter phage CP21,HE815464,966
204,Bacteriophage APSE-2,NC_011551,500
205,Enterobacteria phage phiX174,CP004084,1925
206,Liberibacter phage FP2,JF773396,776
207,Liberibacter phage SC1,NC_019549,1103
208,Liberibacter phage SC2,NC_019550,1104
209,Pelagibacter phage HTVC010P,NC_020481,1217
210,Pelagibacter phage HTVC011P,NC_020482,1218
211,Pelagibacter phage HTVC019P,NC_020483,1219
212,Pelagibacter phage HTVC008M,NC_020484,1220
213,Puniceispirillum phage HMO-2011,NC_021864,1432
214,Caulobacter phage phiCbK,JX163858,959
215,Caulobacter phage Cr30,KF301602,1435
216,Caulobacter phage phiCb5,HM066936,606
217,Caulobacter phage CcrColossus,JX100810,1007
218,Caulobacter phage CcrKarma,JX100811,1006
219,Caulobacter phage CcrMagneto,JX100812,1005
220,Caulobacter phage CcrRogue,JX100814,1004
221,Caulobacter phage CcrSwift,JX100809,1008
222,Celeribacter phage P12053L,JQ809650,931
223,Cellulophaga phage phiST,HQ634192,1243
224,Cellulophaga phage phi3ST:2,KC821610,1365
225,Cellulophaga phage phi40:1,KC821612,1366
226,Cellulophaga phage phi12:3,KC821615,1367
227,Cellulophaga phage phiSM,HQ317392,1226
228,Cellulophaga phage phi19:2,KC821621,1368
229,Cellulophaga phage phi13:1,KC821625,1369
230,Cellulophaga phage phi18:2,KC821627,1370
231,Cellulophaga phage phi18:4,KC821628,1371
232,Cellulophaga phage phi38:2,KC821629,1372
233,Cellulophaga phage phi3:1,KC821630,1373
234,Cellulophaga phage phi48:1,KC821631,1374
235,Cellulophaga phage phi47:1,KC821634,1375
236,Cellulophaga phage phi4:1,NC_021788,1410
237,Cellulophaga phage phi19:3,NC_021789,1411
238,Cellulophaga phage phi18:1,NC_021790,1412
239,Cellulophaga phage phi12:1,NC_021791,1413
240,Cellulophaga phage phi46:3,NC_021792,1414
241,Cellulophaga phage phi48:2,NC_021793,1415
242,Cellulophaga phage phi18:3,NC_021794,1416
243,Cellulophaga phage phi17:1,NC_021795,1417
244,Cellulophaga phage phi38:1,NC_021796,1418
245,Cellulophaga phage phi12:2,NC_021797,1419
246,Cellulophaga phage phi17:2,NC_021798,1420
247,Cellulophaga phage phi19:1,NC_021799,1421
248,Cellulophaga phage phi46:1,NC_021800,1422
249,Cellulophaga phage phi10:1,NC_021802,1424
250,Cellulophaga phage phi13:2,NC_021803,1425
251,Cellulophaga phage phi39:1,NC_021804,1426
252,Cellulophaga phage phi12a:1,NC_021805,1427
253,Cellulophaga phage phi14:2,NC_021806,1428
254,Chlamydia phage 3,AJ550635,192
255,Chlamydia phage CPAR39,AE002163,8
256,Chlamydia phage phiCPAR39,NC_002180,55
257,Chlamydia phage PhiCPG1,NC_001998,38
258,Chlamydia phage Chp1,NC_001741,27
259,Chlamydia phage Chp2,NC_002194,49
260,Chlamydia phage 4,NC_007461,288
261,Citrobacter phage CR8,NC_023548,1591
262,Citrobacter phage CR44b,NC_023576,1597
263,Clavibacter phage CN1A,NC_023549,1631
264,Clavibacter phage CMP1,NC_013698,584
265,Clostridium phage phiCD27,EU719189,474
266,Clostridium phage phiMMP02,JX145341,960
267,Clostridium phage phiMMP04,JX145342,961
268,Clostridium phage phiCD6356,GU949551,610
269,Clostridium phage phiCD38-2,HM568888,698
270,Clostridium phage phi CD119,NC_007917,321
271,Clostridium phage phiC2,NC_009231,363
272,Clostridium phage c-st,NC_007581,294
273,Clostridium phage D-1873,NZ_ACSJ01000012,536
274,Clostridium phage phiSM101,NC_008265,330
275,Clostridium phage phi3626,NC_003524,101
276,Clostridium phage PhiS63,NC_017978,920
277,Clostridium phage phiCP7R,NC_017980,925
278,Clostridium phage phiCPV4,NC_018083,936
279,Clostridium phage phiZP2,NC_018084,937
280,Clostridium phage 39-O,NC_011318,491
281,Clostridium phage phiCP26F,NC_019496,1072
282,Clostridium phage phiCP13O,NC_019506,1079
283,Clostridium phage phiCP34O,NC_019508,1080
284,Clostridium phage phi24R,NC_019523,1091
285,Clostridium phage vB_CpeS-CP51,NC_021325,1333
286,Clostridium phage phiCP9O,JF767210,702
287,Clostridium phage phi8074-B1,NC_019924,1145
288,Colwellia phage 9A,NC_018088,940
289,Corynebacterium phage P1201,NC_009816,393
290,Croceibacter phage P2559Y,NC_023614,1643
291,Croceibacter phage P2559S,NC_018276,973
292,Cronobacter phage CR9,NC_023717,1675
293,Cronobacter phage CR8,NC_024354,1796
294,Cronobacter phage phiES15,JQ780327,904
295,Cronobacter phage CR3,NC_017974,923
296,Cronobacter phage vB_CsaM_GAP32,NC_019401,1046
297,Cronobacter phage vB_CsaP_GAP52,NC_019402,1047
298,Cronobacter phage ESP2949-1,NC_019509,1081
299,Cronobacter phage vB_CsaM_GAP161,NC_019398,1043
300,Cronobacter phage vB_CsaM_GAP31,NC_019400,1045
301,Cronobacter phage ENT47670,NC_019927,1146
302,Cronobacter phage ENT39118,NC_019934,1151
303,Cronobacter phage CR5,NC_021531,1358
304,Cronobacter phage ESSI-2,HQ110083,659
305,Cronobacter phage ES2,JF314845,780
306,Cronobacter phage S13,KC954775,1762
307,Cronobacter phage vB_CskP_GAP227,NC_020078,1183
308,Cronobacter phage Dev2,NC_023558,1773
309,Deftia phage phiW-14,NC_013697,586
310,Dickeya phage Limestone,NC_019925,1182
311,Dickeya phage vB_DsoM_LIMEstone1,HE600015,907
312,Dickeya phage RC-2014,KJ716335,1741
313,Dinoroseobacter phage DFL12phi1,NC_024367,1803
314,Dinoroseobacter phage IMEphi4,KJ621082,1742
315,Edwardsiella phage eiAU-183,NC_023555,1603
316,Edwardsiella phage PEi21,NC_021342,1734
317,Edwardsiella phage eiAU,KF772233,1575
318,Edwardsiella phage PEi2,AP013057,1287
319,Enterobacter phage Enc34,NC_019524,1959
320,Enterobacter phage PG7,NC_023561,1606
321,Enterobacter phage EcP1,NC_019485,1069
322,Enterobacteria phage Hgal1,JX045650,946
323,Enterobacteria phage C-1 INW-2012,JX045649,945
324,Enterococcus phage EF62phi,NC_017732,908
325,Enterococcus phage VD13,NC_024212,1765
326,Enterococcus phage IME_EF3,NC_023595,1772
327,Enterococcus phage phiEF24C,NC_009904,407
328,Enterococcus phage EFAP-1,NC_012419,519
329,Enterococcus phage phiFL3A,NC_013648,570
330,Enterococcus phage phiFL1A,NC_013646,572
331,Enterococcus phage phiFL4A,NC_013644,574
332,Enterococcus phage phiFL2A,NC_013643,575
333,Enterococcus phage phiEf11,NC_013696,583
334,Enterococcus phage EFRM31,NC_015270,687
335,Enterococcus phage BC-611,NC_018086,939
336,Enterococcus phage phiEF24C-P2,AB609718,797
337,Enterococcus phage phiFL1B,GQ478082,559
338,Enterococcus phage phiFL1C,GQ478083,560
339,Enterococcus phage phiFL2B,GQ478085,561
340,Enterococcus phage phiFL3B,GQ478087,562
341,Enterococcus phage SAP6,JF731128,781
342,Enterococcus phage EfaCPT1,JX193904,953
343,Enterococcus phage IME-EF1,KF192053,1396
344,Enterococcus phage EFC-1,KJ608188,1877
345,Enterococcus phage IME-EFm1,NC_024356,1797
346,Enterococcus phage vB_Efae230P-4,JQ309827,900
347,Enterococcus phage IME-EF4,KF733017,1545
348,Erwinia phage PhiEaH1,NC_023610,1600
349,Erwinia amylovora phage Era103,NC_009014,356
350,Erwinia phage phiEa21-4,NC_011811,510
351,Erwinia phage vB_EamM-Y2,NC_019504,1077
352,Erwinia phage vB_EamP-L1,NC_019510,1082
353,Erwinia phage vB_EamP-S6,NC_019514,1086
354,Erwinia phage ENT90,NC_019932,1150
355,Erwinia phage phiEaH2,NC_019929,1148
356,Erwinia phage vB_EamM-M7,HQ728263,707
357,Erwinia phage Ea35-70,NC_023557,1605
358,Erwinia phage Ea9-2,NC_023579,1618
359,Erwinia phage PEp14,NC_016767,852
360,Erwinia phage FE44,KF700371,1495
361,Enterobacteria phage phiP27,AJ298298,92
362,Enterobacteria phage JL1,NC_019419,1279
363,Stx2 converting phage I,NC_003525,100
364,Enterobacteria phage fiAA91-ss,NC_022750,1504
365,Enterobacteria phage SSL-2009a,NC_012223,1557
366,Escherichia phage Lw1,NC_021344,1355
367,Escherichia phage KBNP1711,NC_023593,1626
368,Escherichia phage vB_EcoM_FFH2,NC_024134,1748
369,Escherichia phage vB_EcoS_FFH1,NC_024139,1753
370,Enterobacteria phage Bp4,NC_024142,1944
371,Enterobacteria phage 9g,NC_024146,1758
372,Escherichia phage PE3-1,NC_024379,1809
373,Enterobacteria phage P2,NC_001895,32
374,Enterobacteria phage If1,NC_001954,36
375,Enterobacteria phage 933W,NC_000924,39
376,Enterobacteria phage T4,NC_000866,140
377,Enterobacteria phage HK022,NC_002166,46
378,Enterobacteria phage PRD1,NC_001421,411
379,Enterobacteria phage N15,NC_001901,33
380,Enterobacteria phage Mu,NC_000929,44
381,Enterobacteria phage HK620,NC_002730,75
382,Enterobacteria phage lambda,NC_001416,18
383,Enterobacteria phage BP-4795,NC_004813,153
384,Stx1 converting phage,NC_004913,1934
385,Enterobacteria phage RB49,NC_005066,164
386,Stx2 converting phage II,NC_004914,1935
387,Enterobacteria phage G4,NC_001420,434
388,Enterobacteria phage T3,NC_003298,84
389,Enterobacteria phage P4,NC_001609,23
390,Enterobacteria phage T7,NC_001604,22
391,Enterobacteria phage T1,NC_005833,185
392,Enterobacteria phage M13,NC_003287,212
393,Enterobacteria phage alpha3,NC_001330,10
394,Enterobacteria phage I2-2,NC_001332,12
395,Enterobacteria phage HK97,NC_002167,47
396,Enterobacteria phage Ike,NC_002014,17
397,Enterobacteria phage GA,NC_001426,21
398,Enterobacterio phage MS2,NC_001417,433
399,Enterobacteria phage RB69,NC_004928,160
400,Enterobacteria phage T5,NC_005859,189
401,Enterobacteria phage FI,NC_004301,117
402,Enterobacteria phage Qbeta,NC_001890,31
403,Enterobacteria phage JK06,NC_007291,247
404,Enterobacteria phage K1F,NC_007456,291
405,Enterobacteria phage RTP,NC_007603,295
406,Enterobacteria phage K1E,NC_007637,297
407,Escherichia phage phiV10,NC_007804,386
408,Enterobacteria phage ID2 Moscow/ID/2001,NC_007817,316
409,Enterobacteria phage WA13,NC_007821,317
410,Enterobacteria phage ID18,NC_007856,315
411,Escherichia phage bV_EcoS_AKFV33,NC_017969,918
412,Stx2-converting phage 86,NC_008464,340
413,Enterobacteria phage N4,NC_008720,348
414,Phage cdtI,NC_009514,375
415,Enterobacteria phage TLS,NC_009540,380
416,Enterobacteria phage Phi1,NC_009821,396
417,Enterobacteria phage phiEcoM-GJ1,NC_010106,413
418,Enterobacteria phage JS98,NC_010105,414
419,Enterobacteria phage phiEco32,NC_010324,417
420,Enterobacteria phage Min27,NC_010237,432
421,Enterobacteria phage EPS7,NC_010583,436
422,Enterobacteria phage BA14,NC_011040,452
423,Enterobacteria phage EcoDS1,NC_011042,453
424,Enterobacteria phage 13a,NC_011045,454
425,Stx2-converting phage 1717,NC_011357,495
426,Enterobacteria phage YYZ-2008,NC_011356,494
427,Enterobacteria phage JSE,NC_012740,526
428,Enterobacteria phage JS10,NC_012741,527
429,Enterobacteria phage WV8,NC_012749,529
430,Enterobacteria phage St-1,NC_012868,535
431,Escherichia phage D108,NC_013594,567
432,Enterobacteria phage IME08,NC_014260,608
433,Enterobacteria phage RB16,NC_014467,619
434,Enterobacteria phage CC31,NC_014662,644
435,Enterobacteria phage vB_EcoM-VR7,NC_014792,647
436,Enterobacteria phage 285P,NC_015249,676
437,Escherichia phage HK639,NC_016158,815
438,Escherichia phage HK75,NC_016160,816
439,Escherichia phage vB_EcoM_CBA120,NC_016570,841
440,Escherichia phage P13374,NC_018846,1021
441,Escherichia phage KBNP21,NC_018854,1028
442,Escherichia phage KBNP135,NC_018859,1032
443,Enterobacteria phage vB_EcoM_ACG-C40,NC_019399,1044
444,Enterobacteria phage vB_EcoP_ACG-C91,NC_019403,1048
445,Escherichia phage TL-2011c,NC_019442,1056
446,Escherichia phage TL-2011b,NC_019445,1057
447,Enterobacteria phage Bp7,NC_019500,1073
448,Enterobacteria phage IME10,NC_019501,1074
449,Enterobacteria phage ime09,NC_019503,1076
450,Escherichia phage wV7,NC_019505,1078
451,Enterobacteria phage NJ01,NC_018835,1012
452,Enterobacteria phage HX01,NC_018855,1029
453,Enterobacter phage IME11,NC_019423,1053
454,Enterobacteria phage vB_EcoM-FV3,NC_019517,1088
455,Escherichia coli bacteriophage rv5,NC_011041,458
456,Escherichia phage PhaxI,NC_019452,1064
457,Enterobacteria phage phiX174 sensu lato,NC_001422,20
458,Enterobacteria phage VT2-Sakai,NC_000902,43
459,Enterobacteria phage P1,NC_005856,188
460,Enterobacteria phage K1-5,NC_008152,326
461,Escherichia phage 2 JES-2013,NC_022323,1473
462,Enterobacteria phage AR1,AP011113,598
463,Enterobacteria phage CUS-3,CP000711,374
464,Enterobacteria phage ID21,DQ079870,248
465,Enterobacteria phage ID32,DQ079871,249
466,Enterobacteria phage NC35,DQ079872,250
467,Enterobacteria phage WA45,DQ079874,251
468,Enterobacteria phage NC28,DQ079875,252
469,Enterobacteria phage ID62,DQ079876,253
470,Enterobacteria phage ID52,DQ079877,254
471,Enterobacteria phage NC3,DQ079878,255
472,Enterobacteria phage NC29,DQ079879,256
473,Enterobacteria phage ID1,DQ079880,257
474,Enterobacteria phage ID22,DQ079881,258
475,Enterobacteria phage ID34,DQ079882,259
476,Enterobacteria phage ID45,DQ079883,260
477,Enterobacteria phage NC1,DQ079884,261
478,Enterobacteria phage NC5,DQ079885,262
479,Enterobacteria phage NC7,DQ079886,263
480,Enterobacteria phage NC11,DQ079887,264
481,Enterobacteria phage NC16,DQ079888,265
482,Enterobacteria phage NC37,DQ079889,266
483,Enterobacteria phage NC41,DQ079890,267
484,Enterobacteria phage NC51,DQ079891,268
485,Enterobacteria phage NC56,DQ079892,269
486,Enterobacteria phage WA4,DQ079893,270
487,Enterobacteria phage WA10,DQ079894,271
488,Enterobacteria phage WA11,DQ079895,272
489,Enterobacteria phage WA2,DQ079896,273
490,Enterobacteria phage WA3,DQ079897,274
491,Enterobacteria phage ID8,DQ079898,275
492,Enterobacteria phage WA5,DQ079899,276
493,Enterobacteria phage NC2,DQ079900,277
494,Enterobacteria phage NC13,DQ079901,278
495,Enterobacteria phage NC19,DQ079902,279
496,Enterobacteria phage ID41,DQ079903,280
497,Enterobacteria phage WA6,DQ079904,281
498,Enterobacteria phage ID12,DQ079905,282
499,Enterobacteria phage NC10,DQ079906,283
