197,Campylobacter phage CP81,Campylobacter jejuni
198,Campylobacter phage CP8,Campylobacter jejuni
199,Campylobacter phage CJIE4-1,Campylobacter jejuni
200,Campylobacter phage CJIE4-2,Campylobacter jejuni
201,Campylobacter phage CJIE4-3,Campylobacter jejuni
202,Campylobacter phage CJIE4-4,Campylobacter jejuni
203,Campylobacter phage CJIE4-5,Campylobacter jejuni
204,Campylobacter phage CP21,Campylobacter sp. RM12175
205,Bacteriophage APSE-2,Candidatus Hamiltonella defensa
206,Enterobacteria phage phiX174,Candidatus Hoaglandella endobia
207,Liberibacter phage FP2,Candidatus Liberibacter americanus
208,Liberibacter phage SC1,Candidatus Liberibacter americanus
209,Liberibacter phage SC2,Candidatus Liberibacter americanus
210,Pelagibacter phage HTVC010P,Candidatus Pelagibacter ubique
211,Pelagibacter phage HTVC011P,Candidatus Pelagibacter ubique
212,Pelagibacter phage HTVC019P,Candidatus Pelagibacter ubique
213,Pelagibacter phage HTVC008M,Candidatus Pelagibacter ubique
214,Puniceispirillum phage HMO-2011,Candidatus Puniceispirillum marinum
215,Caulobacter phage phiCbK,Caulobacter vibrioides
216,Caulobacter phage Cr30,Caulobacter vibrioides
217,Caulobacter phage phiCb5,Caulobacter vibrioides
218,Caulobacter phage CcrColossus,Caulobacter vibrioides
219,Caulobacter phage CcrKarma,Caulobacter vibrioides
220,Caulobacter phage CcrMagneto,Caulobacter vibrioides
221,Caulobacter phage CcrRogue,Caulobacter vibrioides
222,Caulobacter phage CcrSwift,Caulobacter vibrioides
223,Celeribacter phage P12053L,Celeribacter sp.
224,Cellulophaga phage phiST,Cellulophaga baltica
225,Cellulophaga phage phi3ST:2,Cellulophaga baltica
226,Cellulophaga phage phi40:1,Cellulophaga baltica
227,Cellulophaga phage phi12:3,Cellulophaga baltica
228,Cellulophaga phage phiSM,Cellulophaga baltica
229,Cellulophaga phage phi19:2,Cellulophaga baltica
230,Cellulophaga phage phi13:1,Cellulophaga baltica
231,Cellulophaga phage phi18:2,Cellulophaga baltica
232,Cellulophaga phage phi18:4,Cellulophaga baltica
233,Cellulophaga phage phi38:2,Cellulophaga baltica
234,Cellulophaga phage phi3:1,Cellulophaga baltica
235,Cellulophaga phage phi48:1,Cellulophaga baltica
236,Cellulophaga phage phi47:1,Cellulophaga baltica
237,Cellulophaga phage phi4:1,Cellulophaga baltica
238,Cellulophaga phage phi19:3,Cellulophaga baltica
239,Cellulophaga phage phi18:1,Cellulophaga baltica
240,Cellulophaga phage phi12:1,Cellulophaga baltica
241,Cellulophaga phage phi46:3,Cellulophaga baltica
242,Cellulophaga phage phi48:2,Cellulophaga baltica
243,Cellulophaga phage phi18:3,Cellulophaga baltica
244,Cellulophaga phage phi17:1,Cellulophaga baltica
245,Cellulophaga phage phi38:1,Cellulophaga baltica
246,Cellulophaga phage phi12:2,Cellulophaga baltica
247,Cellulophaga phage phi17:2,Cellulophaga baltica
248,Cellulophaga phage phi19:1,Cellulophaga baltica
249,Cellulophaga phage phi46:1,Cellulophaga baltica
250,Cellulophaga phage phi10:1,Cellulophaga baltica
251,Cellulophaga phage phi13:2,Cellulophaga baltica
252,Cellulophaga phage phi39:1,Cellulophaga baltica
253,Cellulophaga phage phi12a:1,Cellulophaga baltica
254,Cellulophaga phage phi14:2,Cellulophaga baltica
255,Cellulophaga phage phiSM,Cellulophaga sp. L1A9
256,Cellulophaga phage phiST,Cellulophaga sp. L1A9
257,Chlamydia phage 3,Chlamydia pecorum
258,Chlamydia phage CPAR39,Chlamydia pneumoniae
259,Chlamydia phage phiCPAR39,Chlamydia pneumoniae
260,Chlamydia phage PhiCPG1,Chlamydia psittaci
261,Chlamydia phage Chp1,Chlamydia psittaci
262,Chlamydia phage Chp2,Chlamydia psittaci
263,Chlamydia phage 4,Chlamydophila abortus
264,Citrobacter phage CR8,Citrobacter rodentium
265,Citrobacter phage CR44b,Citrobacter rodentium
266,Clavibacter phage CN1A,Clavibacter michiganensis
267,Clavibacter phage CMP1,Clavibacter michiganensis
268,Clostridium phage phiCD27,Clostridioides difficile
269,Clostridium phage phiMMP02,Clostridioides difficile
270,Clostridium phage phiMMP04,Clostridioides difficile
271,Clostridium phage phiCD6356,Clostridioides difficile
272,Clostridium phage phiCD38-2,Clostridioides difficile
273,Clostridium phage phi CD119,Clostridioides difficile
274,Clostridium phage phiC2,Clostridioides difficile
275,Clostridium phage c-st,Clostridium botulinum
276,Clostridium phage D-1873,Clostridium botulinum
277,Clostridium phage phiSM101,Clostridium perfringens
278,Clostridium phage phi3626,Clostridium perfringens
279,Clostridium phage PhiS63,Clostridium perfringens
280,Clostridium phage phiCP7R,Clostridium perfringens
281,Clostridium phage phiCPV4,Clostridium perfringens
282,Clostridium phage phiZP2,Clostridium perfringens
283,Clostridium phage 39-O,Clostridium perfringens
284,Clostridium phage phiCP26F,Clostridium perfringens
285,Clostridium phage phiCP13O,Clostridium perfringens
286,Clostridium phage phiCP34O,Clostridium perfringens
287,Clostridium phage phi24R,Clostridium perfringens
288,Clostridium phage vB_CpeS-CP51,Clostridium perfringens
289,Clostridium phage phiCP9O,Clostridium perfringens
290,Clostridium phage phi8074-B1,Clostridium sporogenes
291,Colwellia phage 9A,Colwellia psychrerythaea
292,Corynebacterium phage P1201,Corynebacterium glutamicum
293,Croceibacter phage P2559Y,Croceibacter atlanticus
294,Croceibacter phage P2559S,Croceibacter atlanticus
295,Cronobacter phage CR9,Cronobacter sakazakii
296,Cronobacter phage CR8,Cronobacter sakazakii
297,Cronobacter phage phiES15,Cronobacter sakazakii
298,Cronobacter phage CR3,Cronobacter sakazakii
299,Cronobacter phage vB_CsaM_GAP32,Cronobacter sakazakii
300,Cronobacter phage vB_CsaP_GAP52,Cronobacter sakazakii
301,Cronobacter phage ESP2949-1,Cronobacter sakazakii
302,Cronobacter phage vB_CsaM_GAP161,Cronobacter sakazakii
303,Cronobacter phage vB_CsaM_GAP31,Cronobacter sakazakii
304,Cronobacter phage ENT47670,Cronobacter sakazakii
305,Cronobacter phage ENT39118,Cronobacter sakazakii
306,Cronobacter phage CR5,Cronobacter sakazakii
307,Cronobacter phage ESSI-2,Cronobacter sakazakii
308,Cronobacter phage ES2,Cronobacter sakazakii
309,Cronobacter phage S13,Cronobacter sakazakii
310,Cronobacter phage vB_CskP_GAP227,Cronobacter sakazakii
311,Cronobacter phage Dev2,Cronobacter turicensis
312,Deftia phage phiW-14,Delftia acidovorans
313,Dickeya phage Limestone,Dickeya solani
314,Dickeya phage vB_DsoM_LIMEstone1,Dickeya solani
315,Dickeya phage RC-2014,Dickeya sp. Secpp 1600
316,Dinoroseobacter phage DFL12phi1,Dinoroseobacter shibae
317,Dinoroseobacter phage IMEphi4,Dinoroseobacter shibae
318,Edwardsiella phage eiAU-183,Edwardsiella ictaluri
319,Edwardsiella phage PEi21,Edwardsiella ictaluri
320,Edwardsiella phage eiAU,Edwardsiella ictaluri
321,Edwardsiella phage PEi2,Edwardsiella ictaluri
322,Enterobacter phage Enc34,Enterobacter cancerogenus
323,Enterobacter phage PG7,Enterobacter cloacae
324,Enterobacter phage EcP1,Enterobacter cloacae
325,Enterobacteria phage Hgal1,Enterobacteriaceae
326,Enterobacteria phage C-1 INW-2012,Enterobacteriaceae
327,Enterococcus phage EF62phi,Enterococcus faecalis
328,Enterococcus phage VD13,Enterococcus faecalis
329,Enterococcus phage IME_EF3,Enterococcus faecalis
330,Enterococcus phage phiEF24C,Enterococcus faecalis
331,Enterococcus phage EFAP-1,Enterococcus faecalis
332,Enterococcus phage phiFL3A,Enterococcus faecalis
333,Enterococcus phage phiFL1A,Enterococcus faecalis
334,Enterococcus phage phiFL4A,Enterococcus faecalis
335,Enterococcus phage phiFL2A,Enterococcus faecalis
336,Enterococcus phage phiEf11,Enterococcus faecalis
337,Enterococcus phage EFRM31,Enterococcus faecalis
338,Enterococcus phage BC-611,Enterococcus faecalis
339,Enterococcus phage phiEF24C-P2,Enterococcus faecalis
340,Enterococcus phage phiFL1B,Enterococcus faecalis
341,Enterococcus phage phiFL1C,Enterococcus faecalis
342,Enterococcus phage phiFL2B,Enterococcus faecalis
343,Enterococcus phage phiFL3B,Enterococcus faecalis
344,Enterococcus phage SAP6,Enterococcus faecalis
345,Enterococcus phage EfaCPT1,Enterococcus faecalis
346,Enterococcus phage IME-EF1,Enterococcus faecalis
347,Enterococcus phage EFC-1,Enterococcus faecalis
348,Enterococcus phage IME-EFm1,Enterococcus faecium
